cell,R_pool_s0,R_pool_s1,R_pool_s2,R_pool_s3,R_pool_s4,agg_pool_risk,lambda_idx,lambda_ref,pool_cost,resplit
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,62
mnist/eps_greedy_eps0.5/ts0,0.067797,0.060612,0.073451,0.129612,0.359175,0.1471031746031746,78,0.9,21.052896825396825,63
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,64
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,65
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,66
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,67
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,68
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,69
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,70
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,71
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,72
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,73
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,74
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,75
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,76
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,77
mnist/eps_greedy_eps0.5/ts0,0.066332,0.057814,0.065449,0.109248,0.337215,0.13607142857142857,80,0.9,22.311666666666667,78
mnist/eps_greedy_eps0.5/ts0,0.067797,0.060612,0.073451,0.129612,0.359175,0.1471031746031746,78,0.9,21.052896825396825,79
mnist/eps_greedy_eps0.5/ts0,0.06696,0.058933,0.067091,0.118352,0.34886,0.14103174603174604,79,0.9,21.674801587301587,80
